experiment,model,task,metric,K,score,baseline_K0,retention_pct
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,hellaswag,acc_norm,0,0.6827,0.6827,100.0
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,hellaswag,acc_norm,2,0.5036,0.6827,73.8
lmeval_official,Qwen/Qwen2.5-1.5B-Instruct,hellaswag,acc_norm,3,0.6693,0.6827,98.0
lmeval_official,Qwen/Qwen2.5-7B-Instruct,arc_challenge,acc_norm,0,0.5503,0.5503,100.0
lmeval_official,Qwen/Qwen2.5-7B-Instruct,arc_challenge,acc_norm,2,0.4334,0.5503,78.8
lmeval_official,Qwen/Qwen2.5-7B-Instruct,arc_challenge,acc_norm,3,0.5538,0.5503,100.6
lmeval_official,Qwen/Qwen2.5-7B-Instruct,hellaswag,acc_norm,0,0.8049,0.8049,100.0
lmeval_official,Qwen/Qwen2.5-7B-Instruct,hellaswag,acc_norm,2,0.6008,0.8049,74.6
lmeval_official,Qwen/Qwen2.5-7B-Instruct,hellaswag,acc_norm,3,0.801,0.8049,99.5
lmeval_stage3,Qwen/Qwen3-8B,arc_challenge,acc_norm,0,0.5648,0.5648,100.0
lmeval_stage3,Qwen/Qwen3-8B,arc_challenge,acc_norm,2,0.2986,0.5648,52.9
lmeval_stage3,Qwen/Qwen3-8B,arc_challenge,acc_norm,3,0.5469,0.5648,96.8
lmeval_stage3,Qwen/Qwen3-8B,gsm8k,"exact_match,flexible-extract",0,0.8802,0.8802,100.0
lmeval_stage3,Qwen/Qwen3-8B,gsm8k,"exact_match,flexible-extract",2,0.0235,0.8802,2.7
lmeval_stage3,Qwen/Qwen3-8B,gsm8k,"exact_match,flexible-extract",3,0.8415,0.8802,95.6
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,arc_challenge,acc_norm,0,0.535,0.535,100.0
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,arc_challenge,acc_norm,2,0.2381,0.535,44.5
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,arc_challenge,acc_norm,3,0.5137,0.535,96.0
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,gsm8k,"exact_match,flexible-extract",0,0.7013,0.7013,100.0
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,gsm8k,"exact_match,flexible-extract",2,0.0091,0.7013,1.3
lmeval_stage3,ibm-granite/granite-3.1-8b-instruct,gsm8k,"exact_match,flexible-extract",3,0.5701,0.7013,81.3
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,arc_challenge,acc_norm,0,0.6118,0.6118,100.0
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,arc_challenge,acc_norm,2,0.2713,0.6118,44.3
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,arc_challenge,acc_norm,3,0.6101,0.6118,99.7
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,gsm8k,"exact_match,flexible-extract",0,0.7847,0.7847,100.0
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,gsm8k,"exact_match,flexible-extract",2,0.0091,0.7847,1.2
lmeval_stage3,microsoft/Phi-3.5-mini-instruct,gsm8k,"exact_match,flexible-extract",3,0.6945,0.7847,88.5
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,arc_challenge,acc_norm,0,0.5435,0.5435,100.0
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,arc_challenge,acc_norm,2,0.3575,0.5435,65.8
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,arc_challenge,acc_norm,3,0.5427,0.5435,99.9
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,gsm8k,"exact_match,flexible-extract",0,0.4329,0.4329,100.0
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,gsm8k,"exact_match,flexible-extract",2,0.0144,0.4329,3.3
lmeval_stage3,mistralai/Mistral-7B-Instruct-v0.2,gsm8k,"exact_match,flexible-extract",3,0.376,0.4329,86.9
math500_fulln,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,0,0.462,0.462,100.0
math500_fulln,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,3,0.424,0.462,91.8
math500_fulln,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,4,0.434,0.462,93.9
math500_fulln,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,5,0.436,0.462,94.4
math500_fulln,Qwen/Qwen3-8B,minerva_math500,math_verify,0,0.532,0.532,100.0
math500_fulln,Qwen/Qwen3-8B,minerva_math500,math_verify,3,0.45,0.532,84.6
math500_fulln,Qwen/Qwen3-8B,minerva_math500,math_verify,4,0.494,0.532,92.9
math500_fulln,Qwen/Qwen3-8B,minerva_math500,math_verify,5,0.518,0.532,97.4
math_official,Qwen/Qwen2.5-7B-Instruct,gsm_plus_mini,flexible-extract,0,0.655,0.655,100.0
math_official,Qwen/Qwen2.5-7B-Instruct,gsm_plus_mini,flexible-extract,2,0.07,0.655,10.7
math_official,Qwen/Qwen2.5-7B-Instruct,gsm_plus_mini,flexible-extract,3,0.6,0.655,91.6
math_official,Qwen/Qwen2.5-7B-Instruct,hendrycks_math500,exact_match,0,0.0,0.0,
math_official,Qwen/Qwen2.5-7B-Instruct,hendrycks_math500,exact_match,2,0.02,0.0,
math_official,Qwen/Qwen2.5-7B-Instruct,hendrycks_math500,exact_match,3,0.0133,0.0,
math_official,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,0,0.5167,0.5167,100.0
math_official,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,2,0.1583,0.5167,30.6
math_official,Qwen/Qwen2.5-7B-Instruct,minerva_math500,math_verify,3,0.4083,0.5167,79.0
math_official,Qwen/Qwen3-8B,gsm_plus_mini,flexible-extract,0,0.65,0.65,100.0
math_official,Qwen/Qwen3-8B,gsm_plus_mini,flexible-extract,2,0.01,0.65,1.5
math_official,Qwen/Qwen3-8B,gsm_plus_mini,flexible-extract,3,0.665,0.65,102.3
math_official,Qwen/Qwen3-8B,hendrycks_math500,exact_match,0,0.0133,0.0133,100.0
math_official,Qwen/Qwen3-8B,hendrycks_math500,exact_match,2,0.0,0.0133,0.0
math_official,Qwen/Qwen3-8B,hendrycks_math500,exact_match,3,0.0,0.0133,0.0
math_official,Qwen/Qwen3-8B,minerva_math500,math_verify,0,0.6,0.6,100.0
math_official,Qwen/Qwen3-8B,minerva_math500,math_verify,2,0.025,0.6,4.2
math_official,Qwen/Qwen3-8B,minerva_math500,math_verify,3,0.525,0.6,87.5
mmlu_official,Qwen/Qwen2.5-1.5B-Instruct,mmlu,"acc,none",0,0.6184,0.6184,100.0
mmlu_official,Qwen/Qwen2.5-1.5B-Instruct,mmlu,"acc,none",2,0.3614,0.6184,58.4
mmlu_official,Qwen/Qwen2.5-1.5B-Instruct,mmlu,"acc,none",3,0.6057,0.6184,97.9
mmlu_official,Qwen/Qwen2.5-7B-Instruct,mmlu,"acc,none",0,0.7347,0.7347,100.0
mmlu_official,Qwen/Qwen2.5-7B-Instruct,mmlu,"acc,none",2,0.5311,0.7347,72.3
mmlu_official,Qwen/Qwen2.5-7B-Instruct,mmlu,"acc,none",3,0.7316,0.7347,99.6
mmlu_official,Qwen/Qwen3-8B,mmlu,"acc,none",0,0.75,0.75,100.0
mmlu_official,Qwen/Qwen3-8B,mmlu,"acc,none",2,0.3623,0.75,48.3
mmlu_official,Qwen/Qwen3-8B,mmlu,"acc,none",3,0.7184,0.75,95.8
mmlu_official,ibm-granite/granite-3.1-8b-instruct,mmlu,"acc,none",0,0.6535,0.6535,100.0
mmlu_official,ibm-granite/granite-3.1-8b-instruct,mmlu,"acc,none",2,0.2487,0.6535,38.1
mmlu_official,ibm-granite/granite-3.1-8b-instruct,mmlu,"acc,none",3,0.5847,0.6535,89.5
mmlu_official,microsoft/Phi-3.5-mini-instruct,mmlu,"acc,none",0,0.6829,0.6829,100.0
mmlu_official,microsoft/Phi-3.5-mini-instruct,mmlu,"acc,none",2,0.2653,0.6829,38.9
mmlu_official,microsoft/Phi-3.5-mini-instruct,mmlu,"acc,none",3,0.6601,0.6829,96.7
mmlu_official,mistralai/Mistral-7B-Instruct-v0.2,mmlu,"acc,none",0,0.6048,0.6048,100.0
mmlu_official,mistralai/Mistral-7B-Instruct-v0.2,mmlu,"acc,none",2,0.2711,0.6048,44.8
mmlu_official,mistralai/Mistral-7B-Instruct-v0.2,mmlu,"acc,none",3,0.5943,0.6048,98.3
moe_qwen3_30b,Qwen/Qwen3-30B-A3B,gsm8k,"exact_match,flexible-extract",0,0.8933,0.8933,100.0
moe_qwen3_30b,Qwen/Qwen3-30B-A3B,gsm8k,"exact_match,flexible-extract",2,0.68,0.8933,76.1
moe_qwen3_30b,Qwen/Qwen3-30B-A3B,gsm8k,"exact_match,flexible-extract",3,0.86,0.8933,96.3
